"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","02.01.2021 00:00 - 02.01.2021 01:00 (CET/CEST)","402","n/e","n/e","n/e","747","0","n/e","n/e","n/e","n/e","204","13","743","195","n/e","n/e","28","n/e","0","n/e","0","1825"
"Portugal (PT)","02.01.2021 01:00 - 02.01.2021 02:00 (CET/CEST)","405","n/e","n/e","n/e","633","0","n/e","n/e","n/e","n/e","0","562","497","184","n/e","n/e","29","n/e","0","n/e","0","1878"
"Portugal (PT)","02.01.2021 02:00 - 02.01.2021 03:00 (CET/CEST)","414","n/e","n/e","n/e","566","0","n/e","n/e","n/e","n/e","0","715","441","173","n/e","n/e","30","n/e","0","n/e","0","1815"
"Portugal (PT)","02.01.2021 03:00 - 02.01.2021 04:00 (CET/CEST)","413","n/e","n/e","n/e","411","0","n/e","n/e","n/e","n/e","0","1141","396","171","n/e","n/e","28","n/e","0","n/e","0","1795"
"Portugal (PT)","02.01.2021 04:00 - 02.01.2021 05:00 (CET/CEST)","414","n/e","n/e","n/e","411","0","n/e","n/e","n/e","n/e","0","1157","422","187","n/e","n/e","27","n/e","0","n/e","0","1681"
"Portugal (PT)","02.01.2021 05:00 - 02.01.2021 06:00 (CET/CEST)","412","n/e","n/e","n/e","412","0","n/e","n/e","n/e","n/e","0","680","307","210","n/e","n/e","28","n/e","0","n/e","0","1746"
"Portugal (PT)","02.01.2021 06:00 - 02.01.2021 07:00 (CET/CEST)","413","n/e","n/e","n/e","473","0","n/e","n/e","n/e","n/e","0","562","387","244","n/e","n/e","26","n/e","0","n/e","0","1705"
"Portugal (PT)","02.01.2021 07:00 - 02.01.2021 08:00 (CET/CEST)","418","n/e","n/e","n/e","694","0","n/e","n/e","n/e","n/e","0","609","358","263","n/e","n/e","26","n/e","0","n/e","0","1627"
"Portugal (PT)","02.01.2021 08:00 - 02.01.2021 09:00 (CET/CEST)","413","n/e","n/e","n/e","976","0","n/e","n/e","n/e","n/e","0","98","637","288","n/e","n/e","25","n/e","1","n/e","0","1511"
"Portugal (PT)","02.01.2021 09:00 - 02.01.2021 10:00 (CET/CEST)","413","n/e","n/e","n/e","1025","0","n/e","n/e","n/e","n/e","0","180","992","312","n/e","n/e","25","n/e","82","n/e","0","1371"
"Portugal (PT)","02.01.2021 10:00 - 02.01.2021 11:00 (CET/CEST)","413","n/e","n/e","n/e","1078","0","n/e","n/e","n/e","n/e","0","97","1042","303","n/e","n/e","25","n/e","287","n/e","0","1194"
"Portugal (PT)","02.01.2021 11:00 - 02.01.2021 12:00 (CET/CEST)","411","n/e","n/e","n/e","1134","0","n/e","n/e","n/e","n/e","0","53","1021","309","n/e","n/e","25","n/e","457","n/e","0","914"
"Portugal (PT)","02.01.2021 12:00 - 02.01.2021 13:00 (CET/CEST)","406","n/e","n/e","n/e","1130","0","n/e","n/e","n/e","n/e","0","4","912","169","n/e","n/e","25","n/e","529","n/e","0","744"
"Portugal (PT)","02.01.2021 13:00 - 02.01.2021 14:00 (CET/CEST)","406","n/e","n/e","n/e","1149","0","n/e","n/e","n/e","n/e","0","3","1055","280","n/e","n/e","25","n/e","515","n/e","0","600"
"Portugal (PT)","02.01.2021 14:00 - 02.01.2021 15:00 (CET/CEST)","411","n/e","n/e","n/e","1109","0","n/e","n/e","n/e","n/e","184","3","1055","294","n/e","n/e","25","n/e","506","n/e","0","557"
"Portugal (PT)","02.01.2021 15:00 - 02.01.2021 16:00 (CET/CEST)","411","n/e","n/e","n/e","1101","0","n/e","n/e","n/e","n/e","8","4","957","286","n/e","n/e","26","n/e","447","n/e","0","630"
"Portugal (PT)","02.01.2021 16:00 - 02.01.2021 17:00 (CET/CEST)","405","n/e","n/e","n/e","1102","0","n/e","n/e","n/e","n/e","0","3","1069","303","n/e","n/e","25","n/e","333","n/e","0","678"
"Portugal (PT)","02.01.2021 17:00 - 02.01.2021 18:00 (CET/CEST)","399","n/e","n/e","n/e","1103","0","n/e","n/e","n/e","n/e","49","3","1090","380","n/e","n/e","25","n/e","139","n/e","0","698"
"Portugal (PT)","02.01.2021 18:00 - 02.01.2021 19:00 (CET/CEST)","407","n/e","n/e","n/e","1106","0","n/e","n/e","n/e","n/e","1067","2","1432","497","n/e","n/e","26","n/e","4","n/e","0","731"
"Portugal (PT)","02.01.2021 19:00 - 02.01.2021 20:00 (CET/CEST)","407","n/e","n/e","n/e","1144","0","n/e","n/e","n/e","n/e","1401","1","1677","538","n/e","n/e","26","n/e","0","n/e","0","999"
"Portugal (PT)","02.01.2021 20:00 - 02.01.2021 21:00 (CET/CEST)","413","n/e","n/e","n/e","1167","0","n/e","n/e","n/e","n/e","1171","1","1609","532","n/e","n/e","24","n/e","0","n/e","0","1150"
"Portugal (PT)","02.01.2021 21:00 - 02.01.2021 22:00 (CET/CEST)","420","n/e","n/e","n/e","1170","0","n/e","n/e","n/e","n/e","718","1","1559","407","n/e","n/e","25","n/e","0","n/e","0","1213"
"Portugal (PT)","02.01.2021 22:00 - 02.01.2021 23:00 (CET/CEST)","418","n/e","n/e","n/e","1117","0","n/e","n/e","n/e","n/e","148","3","1445","360","n/e","n/e","24","n/e","0","n/e","0","1367"
"Portugal (PT)","02.01.2021 23:00 - 03.01.2021 00:00 (CET/CEST)","416","n/e","n/e","n/e","1056","0","n/e","n/e","n/e","n/e","22","4","1374","359","n/e","n/e","26","n/e","0","n/e","0","1438"
"Portugal (PT)","03.01.2021 00:00 - 03.01.2021 01:00 (CET/CEST)","409","n/e","n/e","n/e","706","0","n/e","n/e","n/e","n/e","0","238","997","366","n/e","n/e","26","n/e","0","n/e","0","1463"
"Portugal (PT)","03.01.2021 01:00 - 03.01.2021 02:00 (CET/CEST)","404","n/e","n/e","n/e","420","0","n/e","n/e","n/e","n/e","0","492","669","337","n/e","n/e","26","n/e","0","n/e","0","1426"
"Portugal (PT)","03.01.2021 02:00 - 03.01.2021 03:00 (CET/CEST)","409","n/e","n/e","n/e","421","0","n/e","n/e","n/e","n/e","0","704","424","280","n/e","n/e","28","n/e","0","n/e","0","1463"
"Portugal (PT)","03.01.2021 03:00 - 03.01.2021 04:00 (CET/CEST)","405","n/e","n/e","n/e","418","0","n/e","n/e","n/e","n/e","0","837","428","321","n/e","n/e","26","n/e","0","n/e","0","1339"
"Portugal (PT)","03.01.2021 04:00 - 03.01.2021 05:00 (CET/CEST)","402","n/e","n/e","n/e","418","0","n/e","n/e","n/e","n/e","0","745","336","295","n/e","n/e","27","n/e","0","n/e","0","1201"
"Portugal (PT)","03.01.2021 05:00 - 03.01.2021 06:00 (CET/CEST)","400","n/e","n/e","n/e","418","0","n/e","n/e","n/e","n/e","0","787","326","288","n/e","n/e","25","n/e","0","n/e","0","1211"
"Portugal (PT)","03.01.2021 06:00 - 03.01.2021 07:00 (CET/CEST)","403","n/e","n/e","n/e","418","0","n/e","n/e","n/e","n/e","0","774","354","318","n/e","n/e","25","n/e","0","n/e","0","1119"
"Portugal (PT)","03.01.2021 07:00 - 03.01.2021 08:00 (CET/CEST)","405","n/e","n/e","n/e","478","0","n/e","n/e","n/e","n/e","0","671","392","298","n/e","n/e","25","n/e","0","n/e","0","1124"
"Portugal (PT)","03.01.2021 08:00 - 03.01.2021 09:00 (CET/CEST)","387","n/e","n/e","n/e","719","0","n/e","n/e","n/e","n/e","0","742","411","286","n/e","n/e","25","n/e","0","n/e","0","1160"
"Portugal (PT)","03.01.2021 09:00 - 03.01.2021 10:00 (CET/CEST)","382","n/e","n/e","n/e","982","0","n/e","n/e","n/e","n/e","4","101","755","316","n/e","n/e","25","n/e","70","n/e","0","1154"
"Portugal (PT)","03.01.2021 10:00 - 03.01.2021 11:00 (CET/CEST)","381","n/e","n/e","n/e","1027","0","n/e","n/e","n/e","n/e","360","12","1063","388","n/e","n/e","24","n/e","266","n/e","0","1030"
"Portugal (PT)","03.01.2021 11:00 - 03.01.2021 12:00 (CET/CEST)","382","n/e","n/e","n/e","1022","0","n/e","n/e","n/e","n/e","545","11","1173","382","n/e","n/e","25","n/e","424","n/e","0","912"
"Portugal (PT)","03.01.2021 12:00 - 03.01.2021 13:00 (CET/CEST)","387","n/e","n/e","n/e","1051","0","n/e","n/e","n/e","n/e","32","11","1164","382","n/e","n/e","26","n/e","506","n/e","0","975"
"Portugal (PT)","03.01.2021 13:00 - 03.01.2021 14:00 (CET/CEST)","392","n/e","n/e","n/e","1040","0","n/e","n/e","n/e","n/e","84","10","1246","330","n/e","n/e","27","n/e","547","n/e","0","1038"
"Portugal (PT)","03.01.2021 14:00 - 03.01.2021 15:00 (CET/CEST)","382","n/e","n/e","n/e","1033","0","n/e","n/e","n/e","n/e","65","4","1111","278","n/e","n/e","26","n/e","515","n/e","0","1189"
"Portugal (PT)","03.01.2021 15:00 - 03.01.2021 16:00 (CET/CEST)","393","n/e","n/e","n/e","1043","0","n/e","n/e","n/e","n/e","7","4","1130","283","n/e","n/e","27","n/e","430","n/e","0","1222"
"Portugal (PT)","03.01.2021 16:00 - 03.01.2021 17:00 (CET/CEST)","403","n/e","n/e","n/e","1069","0","n/e","n/e","n/e","n/e","32","3","1213","315","n/e","n/e","26","n/e","304","n/e","0","1245"
"Portugal (PT)","03.01.2021 17:00 - 03.01.2021 18:00 (CET/CEST)","403","n/e","n/e","n/e","1070","0","n/e","n/e","n/e","n/e","719","2","1264","447","n/e","n/e","26","n/e","119","n/e","0","1232"
"Portugal (PT)","03.01.2021 18:00 - 03.01.2021 19:00 (CET/CEST)","393","n/e","n/e","n/e","1071","0","n/e","n/e","n/e","n/e","1290","3","1464","596","n/e","n/e","25","n/e","3","n/e","0","1197"
"Portugal (PT)","03.01.2021 19:00 - 03.01.2021 20:00 (CET/CEST)","384","n/e","n/e","n/e","1075","0","n/e","n/e","n/e","n/e","1364","6","1698","703","n/e","n/e","25","n/e","0","n/e","0","1275"
"Portugal (PT)","03.01.2021 20:00 - 03.01.2021 21:00 (CET/CEST)","387","n/e","n/e","n/e","1078","0","n/e","n/e","n/e","n/e","1030","6","1806","534","n/e","n/e","25","n/e","0","n/e","0","1194"
"Portugal (PT)","03.01.2021 21:00 - 03.01.2021 22:00 (CET/CEST)","386","n/e","n/e","n/e","1080","0","n/e","n/e","n/e","n/e","1161","9","1714","478","n/e","n/e","26","n/e","0","n/e","0","1097"
"Portugal (PT)","03.01.2021 22:00 - 03.01.2021 23:00 (CET/CEST)","373","n/e","n/e","n/e","1080","0","n/e","n/e","n/e","n/e","836","12","1567","439","n/e","n/e","27","n/e","0","n/e","0","1013"
"Portugal (PT)","03.01.2021 23:00 - 04.01.2021 00:00 (CET/CEST)","369","n/e","n/e","n/e","1087","0","n/e","n/e","n/e","n/e","457","13","1613","439","n/e","n/e","28","n/e","0","n/e","0","834"
"Portugal (PT)","04.01.2021 00:00 - 04.01.2021 01:00 (CET/CEST)","372","n/e","n/e","n/e","1091","0","n/e","n/e","n/e","n/e","152","5","1279","374","n/e","n/e","27","n/e","0","n/e","0","674"
