"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"France (FR)","30.10.2021 21:00 - 30.10.2021 22:00 (CET/CEST)","342","n/e","n/e","n/e","1932","24","173","n/e","n/e","n/e","555","","2621","738","n/e","43156","n/e","n/e","0","188","n/e","4511"
"France (FR)","30.10.2021 22:00 - 30.10.2021 23:00 (CET/CEST)","341","n/e","n/e","n/e","1896","25","173","n/e","n/e","n/e","293","","2577","734","n/e","42713","n/e","n/e","0","188","n/e","4534"
"France (FR)","30.10.2021 23:00 - 31.10.2021 00:00 (CET/CEST)","342","n/e","n/e","n/e","1620","24","173","n/e","n/e","n/e","353","","2383","830","n/e","42312","n/e","n/e","0","189","n/e","4437"
"France (FR)","31.10.2021 00:00 - 31.10.2021 01:00 (CET/CEST)","341","n/e","n/e","n/e","1065","26","173","n/e","n/e","n/e","","129","2211","419","n/e","41517","n/e","n/e","0","188","n/e","4275"
"France (FR)","31.10.2021 01:00 - 31.10.2021 02:00 (CET/CEST)","345","n/e","n/e","n/e","710","28","174","n/e","n/e","n/e","","856","2138","374","n/e","40574","n/e","n/e","0","188","n/e","4135"
"France (FR)","31.10.2021 02:00 - 31.10.2021 03:00 (CET/CEST)","345","n/e","n/e","n/e","680","29","175","n/e","n/e","n/e","","1495","2198","399","n/e","39261","n/e","n/e","0","186","n/e","4516"
"France (FR)","31.10.2021 02:00 - 31.10.2021 03:00 (CET/CEST)","345","n/e","n/e","n/e","680","29","175","n/e","n/e","n/e","","1495","2198","399","n/e","39261","n/e","n/e","0","186","n/e","4516"
"France (FR)","31.10.2021 03:00 - 31.10.2021 04:00 (CET/CEST)","344","n/e","n/e","n/e","649","29","175","n/e","n/e","n/e","","2133","2257","423","n/e","37948","n/e","n/e","0","184","n/e","4896"
"France (FR)","31.10.2021 04:00 - 31.10.2021 05:00 (CET/CEST)","344","n/e","n/e","n/e","687","29","175","n/e","n/e","n/e","","2941","2275","443","n/e","37247","n/e","n/e","0","176","n/e","5571"
"France (FR)","31.10.2021 05:00 - 31.10.2021 06:00 (CET/CEST)","347","n/e","n/e","n/e","708","29","175","n/e","n/e","n/e","","3012","2296","463","n/e","37204","n/e","n/e","0","175","n/e","6640"
"France (FR)","31.10.2021 06:00 - 31.10.2021 07:00 (CET/CEST)","347","n/e","n/e","n/e","707","29","175","n/e","n/e","n/e","","2803","2390","469","n/e","37339","n/e","n/e","0","173","n/e","7612"
"France (FR)","31.10.2021 07:00 - 31.10.2021 08:00 (CET/CEST)","345","n/e","n/e","n/e","690","29","175","n/e","n/e","n/e","","2794","2421","563","n/e","37195","n/e","n/e","184","172","n/e","8851"
"France (FR)","31.10.2021 08:00 - 31.10.2021 09:00 (CET/CEST)","342","n/e","n/e","n/e","687","30","175","n/e","n/e","n/e","","2961","2452","768","n/e","37334","n/e","n/e","573","173","n/e","9593"
"France (FR)","31.10.2021 09:00 - 31.10.2021 10:00 (CET/CEST)","345","n/e","n/e","n/e","688","30","175","n/e","n/e","n/e","","2728","2482","910","n/e","37348","n/e","n/e","1697","173","n/e","9792"
"France (FR)","31.10.2021 10:00 - 31.10.2021 11:00 (CET/CEST)","345","n/e","n/e","n/e","770","29","175","n/e","n/e","n/e","","2418","2422","983","n/e","37797","n/e","n/e","2779","179","n/e","9965"
"France (FR)","31.10.2021 11:00 - 31.10.2021 12:00 (CET/CEST)","345","n/e","n/e","n/e","781","27","175","n/e","n/e","n/e","","2338","2339","983","n/e","37488","n/e","n/e","3552","182","n/e","10562"
"France (FR)","31.10.2021 12:00 - 31.10.2021 13:00 (CET/CEST)","342","n/e","n/e","n/e","789","25","175","n/e","n/e","n/e","","2026","2231","789","n/e","37109","n/e","n/e","3694","184","n/e","10901"
"France (FR)","31.10.2021 13:00 - 31.10.2021 14:00 (CET/CEST)","345","n/e","n/e","n/e","788","24","175","n/e","n/e","n/e","","2322","2194","594","n/e","36697","n/e","n/e","3175","183","n/e","11143"
"France (FR)","31.10.2021 14:00 - 31.10.2021 15:00 (CET/CEST)","346","n/e","n/e","n/e","793","23","175","n/e","n/e","n/e","","2885","2142","481","n/e","36883","n/e","n/e","2422","179","n/e","11064"
"France (FR)","31.10.2021 15:00 - 31.10.2021 16:00 (CET/CEST)","346","n/e","n/e","n/e","796","22","175","n/e","n/e","n/e","","2389","2118","453","n/e","36671","n/e","n/e","1539","179","n/e","10820"
"France (FR)","31.10.2021 16:00 - 31.10.2021 17:00 (CET/CEST)","345","n/e","n/e","n/e","793","23","175","n/e","n/e","n/e","","2240","2139","478","n/e","36912","n/e","n/e","724","189","n/e","9844"
