"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Spain (ES)","14.09.2021 13:00 - 14.09.2021 14:00 (CET/CEST)","507","n/e","0","0","12933","827","171","0","0","0","","0","537","2099","0","6868","62","104","3453","273","0","5313"
"Spain (ES)","14.09.2021 14:00 - 14.09.2021 15:00 (CET/CEST)","513","n/e","0","0","12387","828","172","0","0","0","","0","533","1711","0","6873","66","106","3367","275","0","5623"
"Spain (ES)","14.09.2021 15:00 - 14.09.2021 16:00 (CET/CEST)","513","n/e","0","0","12552","828","171","0","0","0","","0","530","2046","0","6875","62","106","2807","280","0","5599"
"Spain (ES)","14.09.2021 16:00 - 14.09.2021 17:00 (CET/CEST)","505","n/e","0","0","12809","827","171","0","0","0","","1","526","2855","0","6875","61","109","2318","276","0","4923"
"Spain (ES)","14.09.2021 17:00 - 14.09.2021 18:00 (CET/CEST)","513","n/e","0","0","13675","827","171","0","0","0","","0","505","2995","0","6876","60","106","1647","275","0","4439"
"Spain (ES)","14.09.2021 18:00 - 14.09.2021 19:00 (CET/CEST)","520","n/e","0","0","13904","828","171","0","0","0","","0","495","3152","0","6877","59","108","1031","283","0","4027"
"Spain (ES)","14.09.2021 19:00 - 14.09.2021 20:00 (CET/CEST)","518","n/e","0","0","13899","828","171","0","0","0","","0","504","4043","0","6878","59","110","488","278","0","3593"
"Spain (ES)","14.09.2021 20:00 - 14.09.2021 21:00 (CET/CEST)","516","n/e","0","0","14640","828","172","0","0","0","","0","526","4438","0","6880","59","110","83","277","0","3549"
"Spain (ES)","14.09.2021 21:00 - 14.09.2021 22:00 (CET/CEST)","521","n/e","0","0","14617","828","173","0","0","0","","0","546","2842","0","6885","59","108","36","280","0","3154"
"Spain (ES)","14.09.2021 22:00 - 14.09.2021 23:00 (CET/CEST)","515","n/e","0","0","14194","828","173","0","0","0","","0","530","2540","0","6887","59","105","41","279","0","2811"
"Spain (ES)","14.09.2021 23:00 - 15.09.2021 00:00 (CET/CEST)","514","n/e","0","0","12671","827","155","0","0","0","","0","516","2254","0","6889","57","104","37","276","0","2524"
"Spain (ES)","15.09.2021 00:00 - 15.09.2021 01:00 (CET/CEST)","516","n/e","0","0","10689","827","145","0","0","0","","45","516","1624","0","6891","54","96","37","278","0","2774"
"Spain (ES)","15.09.2021 01:00 - 15.09.2021 02:00 (CET/CEST)","516","n/e","0","0","10061","828","145","0","0","0","","196","489","1681","0","6891","56","93","37","273","0","2300"
"Spain (ES)","15.09.2021 02:00 - 15.09.2021 03:00 (CET/CEST)","522","n/e","0","0","9743","828","144","0","0","0","","469","485","1498","0","6892","57","96","37","276","0","2352"
"Spain (ES)","15.09.2021 03:00 - 15.09.2021 04:00 (CET/CEST)","516","n/e","0","0","9522","827","144","0","0","0","","719","484","1214","0","6895","57","97","37","278","0","2337"
"Spain (ES)","15.09.2021 04:00 - 15.09.2021 05:00 (CET/CEST)","518","n/e","0","0","9913","827","142","0","0","0","","798","509","1282","0","6896","59","96","37","279","0","2021"
"Spain (ES)","15.09.2021 05:00 - 15.09.2021 06:00 (CET/CEST)","525","n/e","0","0","10516","827","144","0","0","0","","796","564","1461","0","6897","60","96","37","281","0","1541"
"Spain (ES)","15.09.2021 06:00 - 15.09.2021 07:00 (CET/CEST)","520","n/e","0","0","12745","827","144","0","0","0","","444","565","1648","0","6899","58","90","37","282","0","1299"
"Spain (ES)","15.09.2021 07:00 - 15.09.2021 08:00 (CET/CEST)","514","n/e","0","0","15848","828","146","0","0","0","","0","624","2597","0","6904","59","96","37","279","0","1078"
"Spain (ES)","15.09.2021 08:00 - 15.09.2021 09:00 (CET/CEST)","521","n/e","0","0","16812","827","152","0","0","0","","0","655","3329","0","6890","60","102","401","279","0","1040"
"Spain (ES)","15.09.2021 09:00 - 15.09.2021 10:00 (CET/CEST)","516","n/e","0","0","16775","827","149","0","0","0","","0","642","3266","0","6883","66","102","2286","278","0","968"
"Spain (ES)","15.09.2021 10:00 - 15.09.2021 11:00 (CET/CEST)","491","n/e","0","0","16275","828","147","0","0","0","","0","623","2626","0","6892","67","101","4516","278","0","1012"
"Spain (ES)","15.09.2021 11:00 - 15.09.2021 12:00 (CET/CEST)","486","n/e","0","0","15858","827","153","0","0","0","","0","586","2065","0","6892","68","105","5753","279","0","1232"
"Spain (ES)","15.09.2021 12:00 - 15.09.2021 13:00 (CET/CEST)","494","n/e","0","0","15477","826","154","0","0","0","","0","588","1757","0","6892","74","104","6680","276","0","1355"
"Spain (ES)","15.09.2021 13:00 - 15.09.2021 14:00 (CET/CEST)","488","n/e","0","0","15160","828","153","0","0","0","","1","585","1854","0","6891","75","103","6981","275","0","1411"
"Spain (ES)","15.09.2021 14:00 - 15.09.2021 15:00 (CET/CEST)","479","n/e","0","0","15252","827","153","0","0","0","","0","572","1836","0","6888","72","105","6809","276","0","1599"
"Spain (ES)","15.09.2021 15:00 - 15.09.2021 16:00 (CET/CEST)","510","n/e","0","0","14872","828","153","0","0","0","","3","590","1790","0","6887","72","107","6333","276","0","1710"
"Spain (ES)","15.09.2021 16:00 - 15.09.2021 17:00 (CET/CEST)","513","n/e","0","0","14898","827","153","0","0","0","","0","582","1676","0","6886","74","108","6154","280","0","2082"
"Spain (ES)","15.09.2021 17:00 - 15.09.2021 18:00 (CET/CEST)","502","n/e","0","0","15065","827","151","0","0","0","","0","564","2151","0","6887","73","108","5340","282","0","1879"
"Spain (ES)","15.09.2021 18:00 - 15.09.2021 19:00 (CET/CEST)","484","n/e","0","0","15509","828","146","0","0","0","","0","589","2448","0","6887","74","111","4120","281","0","1894"
"Spain (ES)","15.09.2021 19:00 - 15.09.2021 20:00 (CET/CEST)","485","n/e","0","0","16094","827","148","0","0","0","","0","592","3014","0","6888","74","110","1890","281","0","2226"
"Spain (ES)","15.09.2021 20:00 - 15.09.2021 21:00 (CET/CEST)","514","n/e","0","0","16658","827","153","0","0","0","","0","624","3122","0","6894","70","107","376","259","0","2265"
"Spain (ES)","15.09.2021 21:00 - 15.09.2021 22:00 (CET/CEST)","525","n/e","0","0","15758","828","154","0","0","0","","0","602","2550","0","6898","61","107","136","256","0","2324"
"Spain (ES)","15.09.2021 22:00 - 15.09.2021 23:00 (CET/CEST)","528","n/e","0","0","13486","827","154","0","0","0","","0","593","1972","0","6898","62","107","89","251","0","2705"
"Spain (ES)","15.09.2021 23:00 - 16.09.2021 00:00 (CET/CEST)","518","n/e","0","0","11961","827","153","0","0","0","","0","522","1104","0","6899","60","104","75","256","0","3177"
"Spain (ES)","16.09.2021 00:00 - 16.09.2021 01:00 (CET/CEST)","528","n/e","0","0","9190","827","144","0","0","0","","0","514","1000","0","6903","60","98","75","257","0","3613"
"Spain (ES)","16.09.2021 01:00 - 16.09.2021 02:00 (CET/CEST)","530","n/e","0","0","8566","827","143","0","0","0","","0","508","978","0","6904","61","96","75","252","0","3558"
"Spain (ES)","16.09.2021 02:00 - 16.09.2021 03:00 (CET/CEST)","529","n/e","0","0","8303","825","143","0","0","0","","0","512","441","0","6904","63","95","75","253","0","3762"
"Spain (ES)","16.09.2021 03:00 - 16.09.2021 04:00 (CET/CEST)","527","n/e","0","0","8260","824","143","0","0","0","","24","485","350","0","6906","62","98","74","254","0","3805"
"Spain (ES)","16.09.2021 04:00 - 16.09.2021 05:00 (CET/CEST)","529","n/e","0","0","8271","825","143","0","0","0","","53","488","306","0","6907","63","97","73","254","0","3755"
