Code poste;Nom poste;FONCTION;Etat;Tension (kV);Longitude poste (DD);Latitude poste (DD);Géo-point poste (DD)
LAUR5;LAURAGAIS;Poste de transformation;EN EXPLOITATION;63kV;1.6786367496959562;43.4469651847517;43.4469651847517, 1.6786367496959562
CHAT9;CHATRES;Poste de transformation;EN EXPLOITATION;90kV;3.8471657698082407;48.48442371202324;48.48442371202324, 3.8471657698082407
CHAPO;CHAPON;Poste de transformation;EN EXPLOITATION;225kV;5.239528495903708;48.97200786860974;48.97200786860974, 5.239528495903708
H.BOU;HORNOY-LE-BOURG;Poste de transformation;EN EXPLOITATION;225kV;1.8949226610725114;49.83362969023659;49.83362969023659, 1.8949226610725114
BEZ.E;BEZIERS-EST;Poste de transformation;EN EXPLOITATION;225kV;3.259839764986182;43.35201303391261;43.35201303391261, 3.259839764986182
NIVEL;NIVELLE;Poste de transformation;EN EXPLOITATION;63kV;-1.54252384369431;43.38378747466546;43.38378747466546, -1.54252384369431
VLEGA;VILLEGATS;Poste de transformation;EN EXPLOITATION;90kV;0.19894470448625606;45.9903447124824;45.9903447124824, 0.19894470448625606
HAYET;HAYETTE (LA);Poste de transformation;EN EXPLOITATION;63kV;3.6733219187894472;49.58383252938516;49.58383252938516, 3.6733219187894472
LAITI;LAITIER (LE);Poste de transformation;EN EXPLOITATION;90kV;0.30834533591713237;46.34284204661192;46.34284204661192, 0.30834533591713237
CSLLE;CASTELLET (LE);Poste de transformation;EN EXPLOITATION;225kV;5.723871444226578;43.250685681326544;43.250685681326544, 5.723871444226578
JUSTI;JUSTICE (LA);Poste de transformation;EN EXPLOITATION;225kV;1.660500472815912;48.32410113509645;48.32410113509645, 1.660500472815912
COUB6;COUBERTIN;Poste de transformation;EN EXPLOITATION;63kV;5.091681986090803;47.30247783289073;47.30247783289073, 5.091681986090803
SULAU;SULAUZE;Poste de transformation;EN EXPLOITATION;63kV;4.997267969140218;43.569623620869464;43.569623620869464, 4.997267969140218
ENTR5;ENTREPRISES;Poste de transformation;EN EXPLOITATION;90kV;0.20477644823272273;49.48121139276872;49.48121139276872, 0.20477644823272273
CALA5;CALAN;Poste de transformation;EN EXPLOITATION;400kV;-3.3033274898329728;47.88060499128728;47.88060499128728, -3.3033274898329728
ZTUPI;PIQUAGE A TUPIGNY;Point de piquage;EN EXPLOITATION;63kV;3.597638132759001;49.96996872084198;49.96996872084198, 3.597638132759001
CESSI;CESSIER (LE);Poste de transformation;ACCORD ADMINISTRATIF;225kV;3.325340883367005;49.73238543580467;49.73238543580467, 3.325340883367005
ZGUE5;PIQUAGE A GUERACHE (LA);Point de piquage;EN EXPLOITATION;225kV;6.152599798092415;43.388971277578705;43.388971277578705, 6.152599798092415
RIVAL;RIVAL;Poste de transformation;EN EXPLOITATION;63kV;6.693662129109929;45.21101178605253;45.21101178605253, 6.693662129109929
PIER6;PIERRE (LA);Poste de transformation;ACCORD ADMINISTRATIF;90kV;0.9176392729412663;47.56600197913406;47.56600197913406, 0.9176392729412663
NEPEL;NEPELLIER;Poste de transformation;EN EXPLOITATION;63kV;4.298745832823383;49.486204129960456;49.486204129960456, 4.298745832823383
F.GAL;FONTAINE-GALUCHE;Poste de transformation;EN EXPLOITATION;90kV;3.9759098113542715;48.648660549166664;48.648660549166664, 3.9759098113542715
AYRES;AYRES;Poste de transformation;EN EXPLOITATION;400kV;2.825496271558309;44.03822899026523;44.03822899026523, 2.825496271558309
ZMORE;PIQUAGE A MOREAU;Point de piquage;EN EXPLOITATION;225kV;2.4030817152737125;43.21400485565083;43.21400485565083, 2.4030817152737125
FONDA;FONDAMENTE;Poste de transformation;EN EXPLOITATION;63kV;3.121325750590434;43.862658820801464;43.862658820801464, 3.121325750590434
AILLA;AILLAS;Poste de transformation;EN EXPLOITATION;63kV;-0.051623946734609696;44.51451856371447;44.51451856371447, -0.051623946734609696
SAONE;SAONE;Poste de transformation;EN EXPLOITATION;225kV;6.135975676070778;47.23340613441252;47.23340613441252, 6.135975676070778
C.OME;CRESSY-OMENCOURT;Poste de transformation;EN EXPLOITATION;225kV;2.910523909714707;49.73225280208881;49.73225280208881, 2.910523909714707
ZFAUG;PIQUAGE A FAUGERES;Point de piquage;EN EXPLOITATION;63kV;3.174439357465415;43.55911853162039;43.55911853162039, 3.174439357465415
SAISI;SAISIES (LES);Poste de transformation;EN EXPLOITATION;45kV;6.534246394104607;45.76279071337595;45.76279071337595, 6.534246394104607
GALIL;GALILEE;Poste de transformation;ACCORD ADMINISTRATIF;63kV;2.244095033134058;48.77382784754777;48.77382784754777, 2.244095033134058
LONCA;LONCAT;Poste de transformation;EN EXPLOITATION;63kV;-0.907685274981833;43.914530275359674;43.914530275359674, -0.907685274981833
ZSAB5;PIQUAGE A SABLONNIERES (LES);Point de piquage;EN EXPLOITATION;63kV;3.474315770892832;50.167549719985445;50.167549719985445, 3.474315770892832
MARIT;MARITIME;Poste de transformation;EN EXPLOITATION;90kV;0.9893892874554042;49.351203345874325;49.351203345874325, 0.9893892874554042
ZPLAC;PIQUAGE A PLACHY (LE);Point de piquage;EN EXPLOITATION;225kV;2.8421833974944493;50.5175590778204;50.5175590778204, 2.8421833974944493
SSXAN;ST-XANDRE;Poste de transformation;EN EXPLOITATION;90kV;-1.127158961804396;46.21306841944624;46.21306841944624, -1.127158961804396
H.FAL;HAUTES - FALAISES;Poste de transformation;EN EXPLOITATION;225kV;0.27000033772874094;49.90248919700381;49.90248919700381, 0.27000033772874094
ZG.DO;PIQUAGE AU GRAND DOME;Point de piquage;ACCORD ADMINISTRATIF;225kV;2.231034463292966;48.688777925656744;48.688777925656744, 2.231034463292966
ZCO10;PIQUAGE A LA COULINIERE;Point de piquage;EN EXPLOITATION;90kV;1.1865453764525216;49.260749334362295;49.260749334362295, 1.1865453764525216
BOCHE;BOCHET (LE);Poste de transformation;EN EXPLOITATION;63kV;6.409887883882895;45.246336695070234;45.246336695070234, 6.409887883882895
ZSULA;PIQUAGE A SULAUZE;Point de piquage;EN EXPLOITATION;63kV;4.998663476872341;43.57065654453877;43.57065654453877, 4.998663476872341
C.VE5;CROIX-VERTE (LA);Poste de transformation;EN EXPLOITATION;63kV;3.9223313230616936;47.498954185464065;47.498954185464065, 3.9223313230616936
ZBLOT;PIQUAGE A BLOTTEREAU;Point de piquage;EN EXPLOITATION;225kV;-1.4955917017966094;47.22656077511173;47.22656077511173, -1.4955917017966094
G.MAS;GRAND-MAS (LE);Poste de transformation;EN EXPLOITATION;225kV;3.2627323785271702;45.55510485131982;45.55510485131982, 3.2627323785271702
B.MAN;BOINVILLE-EN-MANTOIS;Poste de transformation;EN EXPLOITATION;225kV;1.7371789961492405;48.93231425172944;48.93231425172944, 1.7371789961492405
B.AI7;BEL-AIR (VILLEURBANNE);Poste de transformation;EN EXPLOITATION;63kV;4.911342856829319;45.75792056687021;45.75792056687021, 4.911342856829319
ZP.CR;PIQUAGE PONT DU CRIEU;Point de piquage;ACCORD ADMINISTRATIF;63kV;1.6296984528168685;43.137157471342746;43.137157471342746, 1.6296984528168685
MORA6;MORANDIE (LA);Poste de transformation;EN EXPLOITATION;90kV;0.3464190737378663;45.63223439542848;45.63223439542848, 0.3464190737378663
ZALL7;PIQUAGE AUX ALLONGETS;Point de piquage;EN EXPLOITATION;225kV;6.295151200486727;46.21305477207545;46.21305477207545, 6.295151200486727
ZSAB6;PIQUAGE A SABATOUSE;Point de piquage;EN EXPLOITATION;63kV;1.2535567369297909;43.36412792874702;43.36412792874702, 1.2535567369297909
JAZEN;JAZENEUIL;Poste de transformation;EN EXPLOITATION;90kV;0.035072531755498626;46.44406456417509;46.44406456417509, 0.035072531755498626
CHEV8;CHEVENE;Poste de transformation;EN EXPLOITATION;63kV;6.112216617537412;45.90173927293145;45.90173927293145, 6.112216617537412
ROCBA;ROCBARON;Poste de transformation;EN EXPLOITATION;225kV;6.072089000391486;43.30189500947929;43.30189500947929, 6.072089000391486
ZFRO8;PIQUAGE AUX FROMONTS;Point de piquage;EN EXPLOITATION;63kV;3.3320362453051953;48.64218648429346;48.64218648429346, 3.3320362453051953
ZMANG;PIQUAGE A MANGOT;Point de piquage;EN EXPLOITATION;225kV;4.915189755815249;44.83047690529493;44.83047690529493, 4.915189755815249
GAVE5;GAVET (HYDRAULIQUE);Poste de transformation;EN EXPLOITATION;63kV;5.87061186862954;45.074305497405334;45.074305497405334, 5.87061186862954
1B.E5;BELLE-ETOILE (RHODIACETA) /BELLE-ETOILE 10KV;Poste de transformation;EN EXPLOITATION;<45kV;4.843022810216989;45.68734202691668;45.68734202691668, 4.843022810216989
1BUJA;BUJALEUF /1ZBUJ 30KV;Poste de transformation;EN EXPLOITATION;<45kV;1.6143275022330883;45.80226024087359;45.80226024087359, 1.6143275022330883
1LAN5;LANGLERET /1ZLAN 30KV;Poste de transformation;EN EXPLOITATION;<45kV;1.5980188374216857;45.79618147353826;45.79618147353826, 1.5980188374216857
1LUZE;LUZENAC;Poste de transformation;EN EXPLOITATION;<45kV;1.7568911983481434;42.76394458137738;42.76394458137738, 1.7568911983481434
1MELL;MELLE RHONE POULENC;Poste de transformation;EN EXPLOITATION;HORS TENSION;-0.13635900043417742;46.21606300033899;46.21606300033899, -0.13635900043417742
1N.MA;NEUILLY-SUR-MARNE /NEUILL;Poste de transformation;EN EXPLOITATION;<45kV;2.518752164442806;48.855146852580546;48.855146852580546, 2.518752164442806
1ONER;ONERA /AVRIEUX 10KV;Poste de transformation;EN EXPLOITATION;<45kV;6.712988386882246;45.21385121248377;45.21385121248377, 6.712988386882246
1TRIT;TRITH-ST-LEGER(UNIMETAL);Poste de transformation;EN EXPLOITATION;HORS TENSION;3.490848999462263;50.32917000041279;50.32917000041279, 3.490848999462263
1ZFLE;PP FLEIX;Point de piquage;EN EXPLOITATION;<45kV;1.6529826735093458;45.814682724839884;45.814682724839884, 1.6529826735093458
1ZP.5;1P.E / 1PARA MTOIS;Point de piquage;EN EXPLOITATION;HORS TENSION;6.011917000493896;49.21299299981629;49.21299299981629, 6.011917000493896
A.LI6;AIR-LIQUIDE (A GRANDE SYNTHE);Poste de transformation;EN EXPLOITATION;225kV;2.2733859393467797;51.017773793795946;51.017773793795946, 2.2733859393467797
ABBEN;ABBENANS;Poste de transformation;EN EXPLOITATION;63kV;6.464660450594559;47.50587062096095;47.50587062096095, 6.464660450594559
AGE;AGE (L );Poste de transformation;EN EXPLOITATION;90kV;1.4222513729513426;46.16342552744914;46.16342552744914, 1.4222513729513426
AIGU6;AIGUEPERSE;Poste de transformation;EN EXPLOITATION;63kV;3.197156209474054;46.02528674084983;46.02528674084983, 3.197156209474054
AIGUE;AIGUEBELLE (ENEDIS);Poste de transformation;EN EXPLOITATION;45kV;6.315173949475686;45.526342794946714;45.526342794946714, 6.315173949475686
AISER;AISEREY;Poste de transformation;EN EXPLOITATION;63kV;5.151756944342698;47.17645222896121;47.17645222896121, 5.151756944342698
ALBE5;ALBERT;Poste de transformation;EN EXPLOITATION;90kV;2.6346588304052525;50.004711930879196;50.004711930879196, 2.6346588304052525
ALBER;ALBERTVILLE;Poste de transformation;EN EXPLOITATION;400kV;6.419568171074424;45.661523640701276;45.661523640701276, 6.419568171074424
ALENC;ALENCON;Poste de transformation;EN EXPLOITATION;90kV;0.05726299302884313;48.43248042988186;48.43248042988186, 0.05726299302884313
ALLON;ALLONNE;Poste de transformation;EN EXPLOITATION;63kV;2.1297123973082255;49.385641571818226;49.385641571818226, 2.1297123973082255
ALOUE;ALOUETTES (LES);Poste de transformation;EN EXPLOITATION;225kV;2.4951090728961542;48.85641350346767;48.85641350346767, 2.4951090728961542
ALSAC;ALSACE;Poste de transformation;EN EXPLOITATION;225kV;2.248343619527596;48.89082884898252;48.89082884898252, 2.248343619527596
ALTKI;ALTKIRCH;Poste de transformation;EN EXPLOITATION;63kV;7.2249081583620836;47.62754627678671;47.62754627678671, 7.2249081583620836
AMARG;AMARGUE;Poste de transformation;EN EXPLOITATION;225kV;2.2537107597405908;49.857970992186104;49.857970992186104, 2.2537107597405908
AMARI;AMARIN;Poste de transformation;EN EXPLOITATION;63kV;7.0243902599950445;47.87359132022038;47.87359132022038, 7.0243902599950445
AMPUI;AMPUIS;Poste de transformation;EN EXPLOITATION;63kV;4.825079988388765;45.49818672093896;45.49818672093896, 4.825079988388765
ANCEN;ANCENIS;Poste de transformation;EN EXPLOITATION;90kV;-1.1798424549599835;47.377658057600726;47.377658057600726, -1.1798424549599835
